9623PRIME,PRIME,INDEX,WHICH
9623AAJ7,AAJ7,AA7J,MIN
9623A2A7,A2A7,AA27,MIN
9623A283,A283,A238,MIN
9623A427,A427,A247,MIN
9623A433,A433,A334,MIN
9623A439,A439,A349,MIN
9623A48A,A48A,AA48,UNIQUE
9623A57A,A57A,AA57,MIN
9623A697,A697,A679,MIN
9623A6K9,A6K9,A69K,MAX
9623A787,A787,A778,MIN
9623AJA7,AJA7,AA7J,MIN
9623AQ6A,AQ6A,AA6Q,MIN
96232A4A,2A4A,AA24,MIN
96232A7K,2A7K,A27K,MAX
96232243,2243,2234,MIN
96232273,2273,2237,MAX
96232399,2399,2399,MIN
96232459,2459,2459,MIN
962324K7,24K7,247K,MAX
96232657,2657,2567,MIN
9623267J,267J,267J,MIN
9623286A,286A,A268,UNIQUE
962329Q9,29Q9,299Q,MIN
96232K7K,2K7K,27KK,MAX
96233AJJ,3AJJ,A3JJ,MAX
96233323,3323,2333,MAX
96233359,3359,3359,MIN
962333T7,33T7,337T,MAX
962333TK,33TK,33TK,MAX
9623349K,349K,349K,MIN
96233677,3677,3677,MIN
96233833,3833,3338,UNIQUE
9623388A,388A,A388,MIN
96233989,3989,3899,MIN
96233JAJ,3JAJ,A3JJ,MAX
96233JJA,3JJA,A3JJ,MAX
9623445A,445A,A445,MIN
96234547,4547,4457,MAX
96234583,4583,3458,MIN
96234679,4679,4679,MIN
96234799,4799,4799,MIN
962348QJ,48QJ,48JQ,MAX
9623492J,492J,249J,MAX
962349K9,49K9,499K,MAX
96234QJJ,4QJJ,4JJQ,MAX
96234QQK,4QQK,4QQK,UNIQUE
96234K4J,4K4J,44JK,MIN
96235A4K,5A4K,A45K,MAX
9623544A,544A,A445,MAX
9623544K,544K,445K,MAX
9623574K,574K,457K,MAX
96235TTA,5TTA,A5TT,MAX
96235TQJ,5TQJ,5TJQ,MAX
96235JT9,5JT9,59TJ,MAX
96235KQJ,5KQJ,5JQK,MAX
962363A7,63A7,A367,MAX
96236353,6353,3356,UNIQUE
96236359,6359,3569,MAX
962363KA,63KA,A36K,MAX
96236449,6449,4469,MAX
962365AJ,65AJ,A56J,MAX
9623652A,652A,A256,MAX
962365JA,65JA,A56J,MAX
96236659,6659,5669,MAX
962366K7,66K7,667K,MIN
96236J5A,6J5A,A56J,MIN
96236Q6J,6Q6J,66JQ,MAX
96237A5A,7A5A,AA57,MAX
962372TK,72TK,27TK,MAX
9623754A,754A,A457,MAX
962377TJ,77TJ,77TJ,UNIQUE
96237T5K,7T5K,57TK,MAX
96238AKA,8AKA,AA8K,MAX
9623823A,823A,A238,MAX
96238273,8273,2378,MAX
9623838K,838K,388K,MAX
962384KA,84KA,A48K,MAX
9623853K,853K,358K,MAX
962385T3,85T3,358T,MAX
96238837,8837,3788,MAX
9623886A,886A,A688,MAX
9623888J,888J,888J,UNIQUE
96238T4A,8T4A,A48T,MAX
96238T83,8T83,388T,MAX
96238J3A,8J3A,A38J,MAX
96238Q8A,8Q8A,A88Q,UNIQUE
96239AQA,9AQA,AA9Q,MAX
9623939J,939J,399J,MAX
96239629,9629,2699,MAX
9623976K,976K,679K,MAX
9623979A,979A,A799,MAX
9623985A,985A,A589,MAX
962398Q3,98Q3,389Q,MAX
9623996J,996J,699J,MAX
962399KA,99KA,A99K,MAX
962399KK,99KK,99KK,MAX
96239J63,9J63,369J,MAX
96239Q29,9Q29,299Q,MAX
96239Q4K,9Q4K,49QK,MAX
96239KK9,9KK9,99KK,MIN
9623T247,T247,247T,MIN
9623T29J,T29J,29TJ,MIN
9623T337,T337,337T,MIN
9623T343,T343,334T,MIN
9623T5K7,T5K7,57TK,MIN
9623T667,T667,667T,MIN
9623T78A,T78A,A78T,MIN
9623T84K,T84K,48TK,MIN
9623TT27,TT27,27TT,MIN
9623TT5A,TT5A,A5TT,MIN
9623TJ83,TJ83,38TJ,MIN
9623TQK3,TQK3,3TQK,MIN
9623TK33,TK33,33TK,MIN
9623TKKJ,TKKJ,TJKK,MIN
9623JAA7,JAA7,AA7J,MIN
9623J26A,J26A,A26J,MIN
9623J3J7,J3J7,37JJ,MIN
9623J549,J549,459J,MIN
9623J5Q7,J5Q7,57JQ,MIN
9623JJ49,JJ49,49JJ,MIN
9623JQQ9,JQQ9,9JQQ,MIN
9623JKK7,JKK7,7JKK,MIN
9623Q227,Q227,227Q,MIN
9623Q347,Q347,347Q,MIN
9623Q64A,Q64A,A46Q,UNIQUE
9623Q647,Q647,467Q,UNIQUE
9623Q67A,Q67A,A67Q,MIN
9623Q7JJ,Q7JJ,7JJQ,UNIQUE
9623Q82A,Q82A,A28Q,MAX
9623QJ69,QJ69,69JQ,MAX
9623K259,K259,259K,MIN
9623K6K9,K6K9,69KK,MIN
9623K8TA,K8TA,A8TK,MAX
9623K9QA,K9QA,A9QK,MAX
